invoice_id|po_id|vendor_id|invoice_dt|invoice_image_path|payment_due_by_dt|received_dt|received_by_user_id|total
INV-902617|PUO-380265272|VD-0568|2015-03-25 00:00:00|not available|2015-05-04 00:00:00|2015-03-30 00:00:00|u2204|24490.93
INV-772520|PUO-074988777|VD-0186|2010-02-05 00:00:00|not available|2010-04-14 00:00:00|2010-02-15 00:00:00|u3977|20332.12
INV-260050|PUO-175682806|VD-0460|2012-06-04 00:00:00|not available|2012-08-13 00:00:00|2012-06-07 00:00:00|u9615|5295.27
INV-144818|PUO-015859425|VD-0501|2013-04-23 00:00:00|not available|2013-07-11 00:00:00|2013-04-29 00:00:00|u8204|50046.33
INV-653165|PUO-251428946|VD-0379|2015-12-10 00:00:00|not available|2016-01-27 00:00:00|2015-12-18 00:00:00|u7724|9860.36
INV-116609|PUO-216709911|VD-0284|2011-12-27 00:00:00|not available|2012-03-07 00:00:00|2012-01-03 00:00:00|u3977|20249.07
INV-710227|PUO-205752796|VD-0159|2012-11-12 00:00:00|not available|2013-02-04 00:00:00|2012-11-15 00:00:00|u8295|22429.01
INV-903952|PUO-055851995|VD-0172|2012-02-22 00:00:00|not available|2012-05-15 00:00:00|2012-03-02 00:00:00|u1645|60818.39
INV-167191|PUO-027864433|VD-0046|2011-10-20 00:00:00|not available|2012-01-11 00:00:00|2011-10-31 00:00:00|u2204|56058.23
INV-231988|PUO-376431196|VD-0536|2016-08-29 00:00:00|not available|2016-11-14 00:00:00|2016-09-01 00:00:00|u1584|4073.47
INV-998294|PUO-384799345|VD-0366|2013-03-27 00:00:00|not available|2013-05-28 00:00:00|2013-04-04 00:00:00|u0371|147118.05
INV-210266|PUO-595937858|VD-0125|2016-10-24 00:00:00|not available|2016-12-05 00:00:00|2016-10-31 00:00:00|u0371|21069.52
INV-259467|PUO-403101155|VD-0142|2011-04-18 00:00:00|not available|2011-06-14 00:00:00|2011-04-26 00:00:00|u2204|22540.69
INV-612940|PUO-202522532|VD-0229|2012-10-12 00:00:00|not available|2012-12-17 00:00:00|2012-10-22 00:00:00|u7882|6746.16
INV-566670|PUO-159889526|VD-0159|2012-11-12 00:00:00|not available|2012-12-17 00:00:00|2012-11-16 00:00:00|u0371|22815.56
INV-335547|PUO-191653035|VD-0516|2013-02-14 00:00:00|not available|2013-04-25 00:00:00|2013-02-19 00:00:00|u1645|55792.02
INV-166903|PUO-096968381|VD-0570|2011-11-09 00:00:00|not available|2012-01-26 00:00:00|2011-11-18 00:00:00|u7882|33633.83
INV-770511|PUO-222506681|VD-0501|2013-04-23 00:00:00|not available|2013-07-22 00:00:00|2013-04-29 00:00:00|u8204|51770.45
INV-957526|PUO-275628476|VD-0434|2012-05-24 00:00:00|not available|2012-08-17 00:00:00|2012-06-04 00:00:00|u8295|24347.33
INV-448184|PUO-155416565|VD-0576|2015-11-19 00:00:00|not available|2016-01-26 00:00:00|2015-11-23 00:00:00|u0775|2017.42
INV-333621|PUO-222167224|VD-0379|2015-10-20 00:00:00|not available|2016-01-08 00:00:00|2015-10-26 00:00:00|u8204|63077.44
INV-683708|PUO-197241196|VD-0509|2014-09-02 00:00:00|not available|2014-11-18 00:00:00|2014-09-10 00:00:00|u0775|17050.47
INV-634891|PUO-071895177|VD-0173|2014-01-16 00:00:00|not available|2014-03-19 00:00:00|2014-01-20 00:00:00|u4539|5020.11
INV-286498|PUO-305578273|VD-0252|2015-05-04 00:00:00|not available|2015-07-14 00:00:00|2015-05-07 00:00:00|u8295|29671.95
INV-154829|PUO-107893485|VD-0172|2012-07-16 00:00:00|not available|2012-08-15 00:00:00|2012-07-25 00:00:00|u1645|28571.19
INV-128541|PUO-084995056|VD-0172|2012-05-29 00:00:00|not available|2012-08-16 00:00:00|2012-06-07 00:00:00|u1645|8812.32
INV-999711|PUO-078731506|VD-0553|2013-12-27 00:00:00|not available|2014-02-17 00:00:00|2013-12-31 00:00:00|u8204|19804.81
INV-355586|PUO-088950791|VD-0254|2014-02-17 00:00:00|not available|2014-04-09 00:00:00|2014-02-26 00:00:00|u9615|9707.16
INV-300388|PUO-157623077|VD-0552|2010-11-22 00:00:00|not available|2011-01-03 00:00:00|2010-12-01 00:00:00|u1645|26382.36
INV-689757|PUO-205441031|VD-0461|2016-02-17 00:00:00|not available|2016-05-17 00:00:00|2016-02-25 00:00:00|u8049|46777.67
INV-667680|PUO-237788132|VD-0377|2016-03-02 00:00:00|not available|2016-05-04 00:00:00|2016-03-07 00:00:00|u0775|29660.76
INV-457096|PUO-111756674|VD-0276|2012-09-24 00:00:00|not available|2012-12-19 00:00:00|2012-10-01 00:00:00|u3977|45866.43
INV-254607|PUO-229560645|VD-0302|2013-05-02 00:00:00|not available|2013-07-08 00:00:00|2013-05-06 00:00:00|u7882|55371.59
INV-325347|PUO-041915013|VD-0545|2013-06-11 00:00:00|not available|2013-07-25 00:00:00|2013-06-17 00:00:00|u7882|19138.76
INV-686168|PUO-202533903|VD-0100|2012-11-06 00:00:00|not available|2013-01-21 00:00:00|2012-11-15 00:00:00|u8204|1867.89
INV-317193|PUO-129400743|VD-0087|2011-06-22 00:00:00|not available|2011-08-29 00:00:00|2011-06-24 00:00:00|u1584|33184.19
INV-436197|PUO-152168806|VD-0279|2015-03-16 00:00:00|not available|2015-05-18 00:00:00|2015-03-19 00:00:00|u2204|10870.72
INV-363028|PUO-302498231|VD-0229|2012-10-15 00:00:00|not available|2012-11-27 00:00:00|2012-10-24 00:00:00|u8204|48080.74
INV-745358|PUO-337382395|VD-0052|2014-04-23 00:00:00|not available|2014-05-26 00:00:00|2014-04-30 00:00:00|u0775|29049.50
