transaction_id|transaction_ref|transaction_dt|amount|debit_acct|credit_acct|status|narrative|approval_dt|approved_by_user_id
TRN-937150|R13976T74526|2016-05-06 11:20:32|55395.27|ACT-00031|ACT-95624|processed|payment for invoice # INV-783094|2016-05-12 00:00:00|u3977
TRN-457635|C54514J52847|2011-01-27 14:49:47|46568.44|ACT-00006|ACT-45489|processed|payment for invoice # INV-795478|2011-02-03 00:00:00|u3977
TRN-414207|F40220I95593|2014-09-23 11:30:07|16574.08|ACT-00033|ACT-34595|processed|payment for invoice # INV-105479|2014-09-25 00:00:00|u2204
TRN-387034|E97777Q80543|2010-09-20 10:39:33|7142.19|ACT-00026|ACT-34595|processed|payment for invoice # INV-227937|2010-09-23 00:00:00|u2204
TRN-207306|R51370R37128|2011-05-12 13:59:53|1160.25|ACT-00007|ACT-93939|processed|payment for invoice # INV-157982|2011-05-19 00:00:00|u9615
TRN-399172|U34134S29160|2016-05-09 16:46:08|43433.33|ACT-00030|ACT-93939|processed|payment for invoice # INV-445608|2016-05-12 00:00:00|u3977
TRN-177282|J42538U77608|2010-06-21 12:59:38|27442.97|ACT-00016|ACT-21097|processed|payment for invoice # INV-261507|2010-06-24 00:00:00|u2204
TRN-261176|Y21998Z31826|2013-08-20 16:57:40|22221.84|ACT-00028|ACT-34595|processed|payment for invoice # INV-967556|2013-08-22 00:00:00|u2204
TRN-450740|P29539Y57733|2012-03-08 15:13:19|4637.02|ACT-00026|ACT-11034|processed|payment for invoice # INV-613400|2012-03-15 00:00:00|u9615
TRN-935957|Y59552Q78236|2013-01-22 09:31:26|52160.65|ACT-00030|ACT-69808|processed|payment for invoice # INV-628214|2013-01-24 00:00:00|u3977
TRN-736126|R16555Q12918|2013-02-11 14:44:28|17532.13|ACT-00024|ACT-36515|processed|payment for invoice # INV-458526|2013-02-14 00:00:00|u2204
TRN-498819|C66398Y24859|2016-02-22 12:07:43|9573.91|ACT-00005|ACT-36515|processed|payment for invoice # INV-951875|2016-02-25 00:00:00|u2204
TRN-383689|C78486E35270|2014-06-27 13:57:02|22328.66|ACT-00029|ACT-69808|processed|payment for invoice # INV-478288|2014-07-03 00:00:00|u2204
TRN-992979|P61531P11637|2012-03-08 09:30:08|2290.58|ACT-00014|ACT-11034|processed|payment for invoice # INV-467775|2012-03-15 00:00:00|u9615
TRN-940559|O88944Z16700|2013-09-10 16:11:30|7656.47|ACT-00014|ACT-20501|processed|payment for invoice # INV-347641|2013-09-12 00:00:00|u2204
TRN-544603|W20467R12326|2008-03-20 11:49:38|29217.37|ACT-00015|ACT-86906|processed|payment for invoice # INV-471408|2008-03-27 00:00:00|u2204
TRN-913556|E57961L90393|2011-03-22 14:37:32|21486.07|ACT-00011|ACT-86906|processed|payment for invoice # INV-559360|2011-03-24 00:00:00|u2204
TRN-849949|G12915G17956|2013-05-21 14:55:39|38359.43|ACT-00019|ACT-46570|processed|payment for invoice # INV-421391|2013-05-23 00:00:00|u3977
TRN-222463|J41637N83165|2013-06-10 16:26:51|30641.98|ACT-00031|ACT-14189|processed|payment for invoice # INV-697437|2013-06-13 00:00:00|u3977
TRN-801843|E73714F27208|2013-01-14 16:55:34|20853.86|ACT-00035|ACT-45489|processed|payment for invoice # INV-540343|2013-01-17 00:00:00|u2204
TRN-418275|H94396S36281|2013-06-03 11:56:47|17519.34|ACT-00026|ACT-14189|processed|payment for invoice # INV-276231|2013-06-06 00:00:00|u2204
TRN-893476|D27241S23309|2014-10-01 16:44:40|57284.17|ACT-00034|ACT-69808|processed|payment for invoice # INV-952959|2014-10-02 00:00:00|u3977
TRN-125917|J69568X82888|2014-01-20 12:08:28|2003.79|ACT-00001|ACT-93939|processed|payment for invoice # INV-586763|2014-01-23 00:00:00|u9615
TRN-862586|H56897F10651|2012-06-11 10:52:14|4310.31|ACT-00016|ACT-20501|processed|payment for invoice # INV-168659|2012-06-14 00:00:00|u9615
TRN-436872|G52244H53368|2015-05-15 13:38:58|40933.57|ACT-00027|ACT-45489|processed|payment for invoice # INV-988451|2015-05-21 00:00:00|u3269
